CALENDAR_C;HOLIDAY_D;GLOBAL_F
HKD       ;2013-05-01;0
HKD       ;2013-05-17;0
HKD       ;2013-06-12;0
HKD       ;2013-07-01;0
HKD       ;2013-09-20;0
HKD       ;2013-10-01;0
HKD       ;2013-10-14;0
HKD       ;2013-12-25;0
HKD       ;2013-12-26;0
HKD       ;2014-01-01;0
HKD       ;2014-01-31;0
HKD       ;2014-02-01;0
HKD       ;2014-02-03;0
HKD       ;2014-04-05;0
HKD       ;2014-04-18;0
HKD       ;2014-04-19;0
HKD       ;2014-04-21;0
HKD       ;2014-05-01;0
HKD       ;2014-05-06;0
HKD       ;2014-06-02;0
HKD       ;2014-07-01;0
HKD       ;2014-09-09;0
HKD       ;2014-10-01;0
HKD       ;2014-10-02;0
HKD       ;2014-12-25;0
HKD       ;2014-12-26;0
HKD       ;2015-01-01;0
HKD       ;2015-02-19;0
HKD       ;2015-02-20;0
HKD       ;2015-02-21;0
HKD       ;2015-04-03;0
HKD       ;2015-04-04;0
HKD       ;2015-04-06;0
HKD       ;2015-04-07;0
HKD       ;2015-05-01;0
HKD       ;2015-05-25;0
HKD       ;2015-06-20;0
HKD       ;2015-07-01;0
HKD       ;2015-09-03;0
HKD       ;2015-09-28;0
HKD       ;2015-10-01;0
HKD       ;2015-10-21;0
HKD       ;2015-12-25;0
HKD       ;2015-12-26;0
HKD       ;2016-01-01;0
HKD       ;2016-02-08;0
HKD       ;2016-02-09;0
HKD       ;2016-02-10;0
HKD       ;2016-03-25;0
HKD       ;2016-03-26;0
HKD       ;2016-03-28;0
HKD       ;2016-04-04;0
HKD       ;2016-05-02;0
HKD       ;2016-05-14;0
HKD       ;2016-06-09;0
HKD       ;2016-07-01;0
HKD       ;2016-09-16;0
HKD       ;2016-10-01;0
HKD       ;2016-10-10;0
HKD       ;2016-12-26;0
HKD       ;2016-12-27;0
HKD       ;2017-01-02;0
HKD       ;2017-01-28;0
HKD       ;2017-01-30;0
HKD       ;2017-01-31;0
HKD       ;2017-04-04;0
HKD       ;2017-04-14;0
HKD       ;2017-04-15;0
HKD       ;2017-04-17;0
HKD       ;2017-05-01;0
HKD       ;2017-05-03;0
HKD       ;2017-05-30;0
HKD       ;2017-07-01;0
HKD       ;2017-10-02;0
HKD       ;2017-10-05;0
HKD       ;2017-10-28;0
HKD       ;2017-12-25;0
HKD       ;2017-12-26;0
